comments_total,authors_total,comments_mean_day,comments_avg_day,comments_median_day,comments_max_day
1303,915,0.7954822954822954,21.297446747847246,0.0,753
2210,1610,1.3337356668678335,20.868614244671058,0.0,766
4748,3934,2.5959540732640787,87.01930295323076,0.0,3681
2280,1814,1.233098972417523,27.602157108193047,0.0,1074
3443,2609,1.9127777777777777,61.38336375896375,0.0,2578
2103,1738,1.9526462395543176,39.01039544228435,0.0,1226
3433,2704,1.9483541430192963,66.23734405049558,0.0,2767
1518,1056,1.3926605504587155,32.56965328690223,0.0,991
1622,1266,0.9452214452214452,30.545600865822564,0.0,1253
2990,2476,2.549019607843137,68.00536035495507,0.0,2313
8000,6267,4.331348132106118,142.69646549535236,0.0,6056
5807,4418,3.1854086670323642,102.83610881130396,0.0,4322
3931,2977,2.1134408602150536,69.38846478079833,0.0,2959
3699,2829,2.0313014827018123,45.94567513526037,0.0,1921
3258,2499,1.7639415268002165,56.09492746762295,0.0,2379
1264,978,0.6854663774403471,20.17231211515016,0.0,847
3700,3028,1.9956850053937432,30.505473268605932,0.0,1157
3294,2428,1.781503515413737,59.5308122018999,0.0,2539
3574,2802,2.022637238256933,59.35748415780328,0.0,2412
2502,2106,1.3531638723634396,27.948201004523654,0.0,1071
2465,2006,1.3353196099674973,34.17807215668636,0.0,1457
1470,1190,1.1212814645308924,27.406770716461406,0.0,880
1649,1357,0.8976592270005443,30.884428252133038,0.0,1314
6826,5143,3.7158410451823625,118.21125450307346,0.0,4978
3121,2524,1.6870270270270271,22.86792549786266,0.0,900
7060,5173,3.8327904451682953,125.17871309270801,0.0,5315
10394,7594,5.689107827038861,204.50234979013206,0.0,8687
4685,3468,2.560109289617486,83.97714055373204,0.0,3548
1384,1162,0.8160377358490566,27.287377048355275,0.0,1119
972,720,1.2840158520475562,28.20517084079581,0.0,765
3546,2617,2.0461627236006925,63.159363977741364,0.0,2608
5614,4178,3.0761643835616437,103.85015883312819,0.0,4387
5888,4789,3.167294244217321,47.400232154884506,0.0,1652
1017,741,0.565,15.011509295858062,0.0,557
3617,2787,1.9572510822510822,51.52940625671124,0.0,2181
7132,5133,3.8406031233171785,135.43552595613664,0.0,5797
2606,2156,1.4240437158469945,26.65266681747999,0.0,998
6272,4410,3.494150417827298,51.658657389309894,0.0,1781
1791,1472,0.9781540141998908,19.76480735863134,0.0,751
